transaction_reference_id,debit_credit_indicator,account_id,transaction_amount,transaction_currency,transaction_date
0ace8fca6ada96883ef2e823b5dea26b,CREDIT,25110,5249.26,GBP,2023-05-15
d52c4f1a546f5d784ee46a8f347ad607,DEBIT,27293,4481.5,GBP,2023-02-27
dac45362e7471a7fa2726c81adae8534,DEBIT,23088,1347.27,GBP,2023-03-18
2ee574398cd6c4a7f3e111447141550e,DEBIT,21641,9276.56,GBP,2023-07-15
c5154ea99a0ff84ba8e72217d34d3397,CREDIT,24233,8002.28,GBP,2024-01-12
f445eb8ca53d3ec5fd8b2d2cb9e34e96,DEBIT,26932,302.86,GBP,2023-02-22
886e4763a4320aba93a772fce7b43642,DEBIT,24907,219.55,GBP,2023-12-08
db99f9545d6602d8fa40aad28bca64ad,CREDIT,29835,6046.52,GBP,2024-06-29
4b6ab47482d826120f21131640a4e4d5,DEBIT,21005,2008.48,GBP,2023-07-01
9b09427e280b2f3027ce5b5576e27fdd,DEBIT,28326,2237.42,GBP,2023-06-26
0ae6f8689ea65eb486eb2753f04a1472,CREDIT,20150,9910.84,GBP,2024-06-03
1974b5db1fb397f23de5e7e237489209,CREDIT,28377,1055.67,GBP,2024-06-12
aa6b48196d2d232672b0894bddf76e4e,DEBIT,29136,222.64,GBP,2022-12-16
7f82b644e5c4c9125e6c80acbec6eb25,CREDIT,23110,996.67,GBP,2024-03-09
d9cd65980d895d9941cac2621e9e3acd,DEBIT,26041,6528.92,GBP,2024-07-03
52101fcd87ca8250147d786a7ddf8519,CREDIT,28103,8459.76,GBP,2023-11-03
32946224735089fddf3564e6f3157de0,CREDIT,24507,4298.77,GBP,2024-11-26
dccc01d89fd02cab18d6d6501e81279b,CREDIT,26085,8931.95,GBP,2023-01-02
f4eebd399bfaab484b97799058e701fa,DEBIT,22105,1351.36,GBP,2023-10-27
866336af9933eec9441ff4c08083500c,DEBIT,20971,4390.07,GBP,2023-01-29
3357b895a9d083d9890fb91715b9054d,DEBIT,24463,1745.14,GBP,2023-03-21
fb05d4bb7c70b86970d510c9376bcf34,DEBIT,25253,5812.87,GBP,2024-09-24
6ffa395fea2444e1d31e90e68e693023,CREDIT,21308,3673.81,GBP,2024-05-16
4d9c8bbdcbba424c0cc6c8f6e4f883ff,CREDIT,28824,7701.78,GBP,2024-11-26
6c46551363a9cc1336122bf9bf5cf88a,CREDIT,23477,8888.32,GBP,2024-03-04
1ba1b44775dde18136ca9316d8433c12,DEBIT,23828,6888.42,GBP,2024-09-24
7d62f244425a8f1794c70d48bd3376de,CREDIT,27225,9475.88,GBP,2023-01-07
31fc39fabb43031fff11dd861ce9d6f5,CREDIT,27493,6288.54,GBP,2023-09-25
e10fcf5b8ce7e3b4968174d2f71022b7,CREDIT,25436,3906.61,GBP,2023-07-28
3f96a95a9d562254dfb3710738cb2ebc,CREDIT,20807,2160.21,GBP,2023-10-17
75d6d6fe9cb0f1b3ad1917bdacfeb8af,DEBIT,23265,2329.27,GBP,2024-01-07
9b388cdfc7d02586bca9a2fb08fe09a4,DEBIT,20131,4092.38,GBP,2023-08-25
cf4354c175eba8f46a2d395057db1a46,DEBIT,22113,1823.71,GBP,2023-03-07
3585eb42b55241225870439f3837f54d,CREDIT,28064,3899.01,GBP,2024-11-17
8236fd320b10cfca9c4c46a48ec262a7,CREDIT,21993,9245.31,GBP,2023-11-07
ab0beceff9842c8ad81dfbbc90e44274,CREDIT,28453,1660.16,GBP,2024-04-14
3347c54b15ba3639e543245caf1147e7,DEBIT,21684,8200.59,GBP,2024-02-26
521272c6d091694f974b35f9c7c49d33,DEBIT,24665,2575.74,GBP,2023-06-27
11c9f8db511883d7a9f4a2424a951626,DEBIT,22829,3691.98,GBP,2023-04-21
52aa9c0393c4a9629888ca730949272a,CREDIT,24788,3983.45,GBP,2023-06-09
615ba3d4b6a91b7ac4c8326c966fcb9e,CREDIT,25821,9262.92,GBP,2023-05-23
2d9d42a0d019e858cff2f18d11f78859,CREDIT,29844,9347.2,GBP,2023-07-30
52e55e7ec93ea7fcb184038b5414ea01,CREDIT,21330,2288.89,GBP,2023-05-18
d3a33f55fbcfd65e22e2d595df9cc97a,CREDIT,28550,21.9,GBP,2024-09-13
42771457192614f96c1879e742fb5168,DEBIT,21122,6227.08,GBP,2023-04-29
b076b776337a6647ae36bf1d942815d2,DEBIT,26626,9981.29,GBP,2023-09-19
0ae6f8689ea65eb486eb2753f04a1472,DEBIT,27587,9910.84,GBP,2024-06-03
6604379c6c8d67e4eb4f90901eabea2d,DEBIT,20655,6877.74,GBP,2023-01-15
f1ab5355a717cfcbbf682570e0ea6d77,DEBIT,27889,839.75,GBP,2024-09-12
f696264a76f427c9b69a5500c7317b36,DEBIT,24620,3131.88,GBP,2022-11-28
ad52334ea59be4557ff4e92e508a846e,DEBIT,27484,7976.93,GBP,2022-12-07
