transaction_reference_id,party_role,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_postal_code,parsed_address_city,party_iban,party_phone,external_id,account_id,transaction_date,provi_id
220,0,3909,543,273,5358,3430,2446,2451,50039037,22308,707,group_0
2973,1,900,4774,4827,4626,2481,4931,3586,60044692,23693,292,2973
38,1,24,6009,1866,5183,5741,352,6031,30008244,23688,597,38
9927,0,897,5494,4827,5358,540,837,6031,40017944,22253,361,group_3
9036,1,3754,2132,4071,492,804,4931,2129,40012658,23633,7,9036
6492,0,1151,7326,4002,5358,4468,4905,1089,10420140,21522,209,group_5
6741,0,2945,2696,643,5024,5726,4931,6031,40006918,24388,624,group_6
563,0,2385,371,737,1017,2001,1540,3920,25021900,23297,660,563
5631,0,1130,7104,806,5358,6388,4931,5613,25021951,22433,636,5631
2877,0,2861,7473,4827,3992,2145,4931,5464,10273918,20784,448,group_9
8993,1,24,6009,1866,5358,5742,4931,2043,30008244,26942,603,8993
7209,1,3428,830,1607,5358,6267,4931,6031,60040104,22377,232,group_11
10755,0,958,2352,2513,3133,5056,4931,6031,25019589,27584,37,10755
1761,0,3728,1902,2129,5343,1159,1312,3576,35007399,25615,122,1761
1787,0,5502,4643,317,4084,3367,2469,6031,25014926,24557,490,group_14
1419,1,2672,7147,4827,3955,1686,2696,6031,30004073,22729,559,1419
10375,1,2810,7050,4827,4719,5076,4192,5097,25027190,26486,606,10375
3884,0,5838,1195,3942,3630,1009,4149,5819,25001816,24394,28,group_17
3212,1,4962,2736,3882,1305,328,2910,2908,35007342,23929,127,3212
7624,0,6032,7346,3888,2151,5739,4931,5535,10138630,29295,605,7624
9565,1,2184,4426,4827,5358,1751,1906,3404,40019758,29957,100,group_20
9375,1,793,2026,2325,2460,1955,4931,6031,25001725,26779,258,group_21
4032,1,6201,1152,4177,5358,3740,335,4667,25007013,21486,508,group_22
3035,0,1302,3087,3144,5358,3135,783,4740,10223824,29497,565,3035
2207,1,1569,6646,4588,744,1685,3219,3073,25011379,22969,99,group_24
9311,0,3661,6522,1404,3705,3238,4931,5671,35010849,28807,417,9311
867,0,141,2699,3218,3557,4106,345,6031,10558848,21033,531,group_26
9133,0,4760,600,253,715,5429,771,2806,60023402,25510,464,group_27
1498,1,3415,4222,1093,259,6388,4931,4344,25006185,22640,254,group_28
3906,1,4314,240,4461,4243,2473,2000,5043,60015395,26444,254,3906
9728,1,234,6442,3988,211,3043,3578,3704,25020982,28131,119,9728
6466,0,1468,4092,474,4015,5426,2640,6031,20015841,20692,221,6466
5936,1,5823,912,4827,1213,5737,4931,6031,30001583,29544,25,group_32
10880,1,1021,2907,1109,4502,5770,4931,6031,35024438,23493,344,group_33
3458,0,3747,4868,1670,1929,1577,425,6031,35008448,26022,456,3458
3466,0,3207,6820,3319,4855,5101,3022,4873,35021635,22663,94,3466
4575,0,2308,1046,1697,5358,5323,4931,6031,35013529,27566,260,group_36
1785,1,3552,3141,3816,2689,3507,4931,3049,70053618,26791,642,1785
100,0,5284,1081,2582,5358,4271,95,6017,80030363,27771,409,100
3015,1,619,5635,4827,5358,2319,3789,6031,25004753,28461,96,group_39
7504,1,2662,1535,1122,2153,5705,2923,6031,35024639,20995,629,group_40
417,0,2609,5184,82,3620,480,4931,3062,70007664,27165,559,417
426,0,3138,5998,4529,4239,1104,2477,3514,10579992,24871,649,426
3322,0,5258,1876,4827,3274,1688,2905,1555,40002486,23336,645,group_43
2333,0,5720,4550,4440,3045,669,76,1670,20016111,24879,110,group_44
4017,0,3957,5699,1686,2890,6167,3267,4928,10564644,24093,386,4017
4145,0,1388,2876,4024,5358,3467,1609,4307,25024311,21585,635,group_46
10406,1,1311,1624,1263,3301,5758,1206,3620,90019212,26164,450,10406
5286,1,1040,7374,1882,5358,5423,4840,6031,10517596,27776,501,group_48
99,1,5005,2614,985,5358,792,4931,6031,25001406,20034,598,group_49
1386,0,6188,5432,4000,4746,5409,4931,6031,20015151,27288,97,1386
351,1,2993,6996,2359,2295,2589,4931,816,10055170,25289,167,351
3965,0,5693,6021,4827,2124,4846,1673,757,35008915,24792,345,3965
10741,0,3087,1485,1228,5358,5123,3769,6031,25008153,21565,387,group_53
5505,0,1270,7473,4827,5358,4863,72,6031,25033941,28498,301,5505
